Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
rand_name_work,randomization,,descriptive,"<div class=""rich-text-field-label""><div>Name of randomizing person ( Work variable, used for sending randomization confirmation)</div> <div><strong><span style=""color: #3178d1;"">Uses REDCap smart variable [user-fullname]</span></strong></div></div>",,,,,,,,,,,,,@READONLY @SETVALUE= '[user-fullname]' @HIDDEN
rand_datum,randomization,,text,Datum van groepstoewijzing,,"Pas invullen na bevestigde geschiktheid, getekende toestemming en de baselinemetingen.",date_dmy,,,,,y,,,,,
rand_envelop,randomization,,text,Nummer van de verzegelde envelop,,Enveloppen worden per centrum sequentieel geopend; een overgeslagen nummer moet opvallen.,integer,1,999,,,y,,,,,
rand_arm,randomization,,radio,Toegewezen arm,"1, Usual Care|2, Optimal Care",Zoals vermeld in de envelop. Moet overeenkomen met de REDCap-arm van de deelnemer.,,,,,,y,,,,,
rand_door,randomization,,text,Toewijzing uitgevoerd door (initialen),,De PI opent de envelop; alleen die initialen.,,,,,,,,,,,
contx_versie_txt,concomitant_therapy,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
contx_total,concomitant_therapy,,calc,Total number of pages,[last-instance],,,,,,,,,,,,@HIDDEN
contx_drugname,concomitant_therapy,"IMPORTANT: Please, list all medication / non-drug therapy taken by the subject while participating in the study",text,Generic medication name / non-drug therapy,,,,,,,,y,,,,,
contx_dose,concomitant_therapy,,text,Dose,,,number,,,,,y,,,,,
contx_unit,concomitant_therapy,,dropdown,Dose unit,"1, mg|2, gr|3, ml|4, cl|5, IU|6, Appl|7, dr|8, %|9, Other",,,,,,,y,,,,,
contx_unit_other,concomitant_therapy,,text,"If ""Other"", please specify unit:",,,,,,,[contx_unit] = '9',,,,,,
contx_freq,concomitant_therapy,,text,Frequency per day,,,,,,,,,,,,,
contx_route,concomitant_therapy,,text,Route,,,,,,,,,,,,,
contx_startdate,concomitant_therapy,,text,Start date,,,date_dmy,,,,,y,,,,,
contx_stop_ong,concomitant_therapy,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; height: 37px;"" border=""0""> <tbody> <tr> <td style=""width: 465px;""> <div>Stop date</div> <div> </div> </td> <td style=""width: 110px;"">{contx_stopdate}</td> <td style=""width: 220px;"">{contx_ongoing}</td</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
contx_stopdate,concomitant_therapy,,text,"Stop date
(or indicate ongoing at the end of the study)",,,date_dmy,,,,,,,,,,
contx_ongoing,concomitant_therapy,,checkbox,"<div class=""rich-text-field-label""></div>","1, ongoing",,,,,,[contx_stopdate]= '',,,,,,
contx_maint_new,concomitant_therapy,,radio,Did medication intake start before or during study?,"No, maintenance therapy | Yes, new onset therapy",,,,,,,,,,,,
contx_reas,concomitant_therapy,,radio,Reason for therapy,"1, Pre-existing condition | 2, Adverse event | 3, Other",,,,,,,y,,,,,
contx_reas_pre_ex,concomitant_therapy,,notes,Define pre-existing condition,,,,,,,[contx_reas] = '1',y,,,,,
contx_reas_other,concomitant_therapy,,notes,"If ""Other"" reason for concomitant therapy, please specify",,,,,,,[contx_reas] = '3',y,,,,,
contx_aenbr,concomitant_therapy,,text,Adverse event description,,,,,,,[contx_reas] = '2',,,,,,
ae_versie_txt_v2,ae_sae_form_imd_within_ce_label,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
ae_description_v2,ae_sae_form_imd_within_ce_label,"<div class=""rich-text-field-label""><p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: Verdana, sans-serif; color: black;""><span style=""color: #e03e2d;"">Definition of 'Adverse event' (AE):</span></span></strong></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: 'Verdana',sans-serif; mso-fareast-font-family: 'Times New Roman'; mso-bidi-font-family: 'Times New Roman'; color: black; mso-ansi-language: EN-US; mso-fareast-language: NL-BE;"">Any untoward medical <span style=""color: #000000;"">occurence,</span> unintended disease or injury or any untoward clinical signs (including an abnormal laboratory finding) in<span style=""text-decoration: underline;""> subjects, users or other persons</span> whether or not related to the investigational medical device.</span></strong></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""color: #e03e2d;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">Definition of 'Serious Adverse Event' (SAE):</span></strong></span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><strong><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: 'Verdana',sans-serif; mso-fareast-font-family: 'Times New Roman'; mso-bidi-font-family: 'Times New Roman'; color: black; mso-ansi-language: EN-US; mso-fareast-language: NL-BE;"">A SAE is any adverse event that led to any of the following: </span></strong></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">a) death</span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">b) serious deterioration in health of the subject, that resulted in any of the following:</span></p> <ul> <li class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">life-threatening illness or injury</span></li> <li class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">permanent impairment of a body structure or a body function</span></li> <li class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">hospitalisation or prolongation of patient hospitalisation</span></li> <li class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">medical or surgical intervention to prevent life-threatening illness or injury or permanent impairment to a body structure or a body function,</span></li> <li class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">chronic disease</span></li> </ul> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">c) foetal distress, foetal death or a congenital physical or mental imparment or birth defect</span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt; color: #e03e2d;""><strong style=""font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol'; font-size: 13px;""><span lang=""EN-US"" style=""font-size: 10.5pt; font-family: Verdana, sans-serif;"">Any SERIOUS Adverse Event (SAE) must be reported within 24 hours awareness</span></strong></span></p> <p class=""MsoNormal"" style=""mso-margin-top-alt: auto; mso-margin-bottom-alt: auto; line-height: normal;""><span style=""color: #000000;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;""><span style=""color: #0864cc;"">Legend for severity of (S)AE</span>:</span></span></p> <ul> <li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">Mild: aware of symptoms but easily tolerated</span></li> <li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">Moderate: discomfort causing interference with usual activity</span></li> <li class=""MsoNormal"" style=""line-height: normal;""><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;"">Severe: incapacitating with inability to work or to do usual activity </span></li> </ul> <p><span style=""font-family: Arial, sans-serif; font-size: 11.5pt;""><span style=""color: #0864cc;"">Guidance for sponsor</span>: any SAE with a causal relationship to the IMD, comparator or procedure should be reported to the CA(s) within strict timelines.</span></p></div>",text,Describe Event,,,,,,,,y,,,,,
ae_medra_v2,ae_sae_form_imd_within_ce_label,,text,MedDRA LLT,BIOPORTAL:MEDDRA,Start entering description of event and select from MedDRA list. Most recent version of MedDRA dictionary is uploaded automatically during routine system updates,,,,,,y,,,,,
ae_startdate_v2,ae_sae_form_imd_within_ce_label,,text,Start date,,,date_dmy,,,,,y,,,,,
ae_starttime_v2,ae_sae_form_imd_within_ce_label,,text,"Start time
(if applicable)",,,time,,,,,y,,,,,
ae_stopdate_v2,ae_sae_form_imd_within_ce_label,,text,Stop date,,,date_dmy,,,,,,,,,,
ae_stoptime_v2,ae_sae_form_imd_within_ce_label,,text,"Stop time
(if applicable)",,,time,,,,,,,,,,
ae_outcome_v2,ae_sae_form_imd_within_ce_label,,radio,Outcome,"1, Recovered | 2, Recovered with sequelae | 3, Not yet recovered | 4, Unknown | 5, Death",,,,,,,y,,,,,
ae_action_md_v2,ae_sae_form_imd_within_ce_label,,checkbox,Action taken regarding study intervention,"1, None | 2, Temporarily interrupted | 3, Stopped permanently | 4, Other",,,,,,,y,,,,,
ae_action_md_oth_v2,ae_sae_form_imd_within_ce_label,,notes,Other,,,,,,,[ae_action_md_v2(4)] = '1',,,,,,
ae_action_v2,ae_sae_form_imd_within_ce_label,,checkbox,"<div class=""rich-text-field-label""><p>Action taken<br /><em>(tick all that apply)</em></p></div>","1, None | 2, Medication | 3, Non-drug therapy | 4, Further investigation performed | 5, Stop study participation due to AE | 6, Other",,,,,,,y,,,,,
ae_conxt_txt1_v2,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><div style=""width: 101.5%; background-color: #feffd9; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px; font-size: large; color: #236fa1; text-align: center;""><br />Please 'save' this page before using the link below</div> <div style=""width: 101.5%; background-color: #feffd9; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px; font-size: large; text-align: center; color: #236fa1;""> </div></div>",,,,,,,[ae_action_v2(2)]='1',,,,,,
ae_contx_reminder_v2,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Ensure to update Concomitant Therapy page</span> <br>op de eerstvolgende bezoekvisite</p></div>",,,,,,,[ae_action_v2(2)]='1',,,,,,
ae_action_oth_v2,ae_sae_form_imd_within_ce_label,,notes,Other,,,,,,,[ae_action_v2(6)] = '1',,,,,,
ae_serious_txt_v2,ae_sae_form_imd_within_ce_label,"<div class=""rich-text-field-label""><h4 style=""text-align: center;"">Investigator's assessment</h4></div>",descriptive,"<div class=""rich-text-field-label""><div style=""width: 101.5%; background-color: #cdcdcd; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px;""> <h5><span style=""color: #0864cc; font-weight: normal;""><strong>Seriousness</strong></span></h5> </div></div>",,,,,,,,,,,,,
ae_seriousae_v2,ae_sae_form_imd_within_ce_label,,radio,Serious AE?,"1, Yes | 0, No",,,,,,,y,RH,,,,
note_1_dev,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;""><span style=""color: #e03e2d; text-decoration: underline;"">Note to eCRF developer:</span></span></p> <p><span style=""color: #e03e2d;"">Edit Alert: ""Template - Device Adverse event alert"" </span><br /><span style=""color: #e03e2d;"">Edit Alert: ""Template - Device Adverse event -causality_related -alert""</span><br /><span style=""color: #e03e2d;"">(See 'Alerts and Notifications')</span></p> <p><span style=""color: #e03e2d;"">Update the email field for sponsor/sponsor team and the S-nr of the study !!</span></p> <p><span style=""color: #e03e2d;""> !! </span><span style=""color: #e03e2d;"">Test thoroughly</span><br /><br /><span style=""color: #e03e2d;"">Delete this work field, before going to production.</span></p></div>",,,,,,,,,,,,,
ae_serae_date_v2,ae_sae_form_imd_within_ce_label,,text,Date of awareness,,,date_dmy,,,,[ae_seriousae_v2] = '1',y,,,,,
ae_ser_apply_txt_v2,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #0864cc;""><em>If yes, tick all criteria that apply:</em></span></p></div>",,,,,,,[ae_seriousae_v2] = '1',,,,,,
ae_ser_death_v2,ae_sae_form_imd_within_ce_label,,checkbox,Results in death,"1, Results in death",,,,,,[ae_seriousae_v2] = '1',,,,,,
ae_ser_death_date_v2,ae_sae_form_imd_within_ce_label,,text,"<div style=""text-align:right"" > Date of death </div>",,,date_dmy,,,,[ae_ser_death_v2(1)] = '1',y,,,,,
ae_ser_lifethr_v2,ae_sae_form_imd_within_ce_label,,checkbox,Is life-threatening,"1, Is life-threatening",,,,,,[ae_seriousae_v2] = '1',,RH,,,,
ae_ser_impairment_v2,ae_sae_form_imd_within_ce_label,,checkbox,Results in permanent impairment,"1, Results in permanent impairment",,,,,,[ae_seriousae_v2] = '1',,,,,,
ae_serhospital_v2,ae_sae_form_imd_within_ce_label,,checkbox,Requires or prolongs inpatient hospitalization,"1, Requires or prolongs inpatient hospitalization",,,,,,[ae_seriousae_v2] = '1',,,,,,
ae_ser_hosp_date_v2,ae_sae_form_imd_within_ce_label,,text,Date of hospitalization,,,date_dmy,,,,[ae_serhospital_v2(1)] = '1',y,,,,,
ae_hospongoing_v2,ae_sae_form_imd_within_ce_label,,yesno,Is hospitalization ongoing?,,,,,,,[ae_serhospital_v2(1)] = '1',,RH,,,,
ae_ser_hosp_disch_v2,ae_sae_form_imd_within_ce_label,,text,Date of discharge,,,date_dmy,,,,[ae_hospongoing_v2] = '0',y,,,,,
ae_ser_impmedev_v2,ae_sae_form_imd_within_ce_label,,checkbox,Medical or surgical intervention to prevent any of the outcomes above,"1, Medical or surgical intervention to prevent any of the outcomes above",,,,,,[ae_seriousae_v2] = '1',,,,,,
ae_ser_chron_v2,ae_sae_form_imd_within_ce_label,,checkbox,Chronic disease,"1, Chronic disease",,,,,,[ae_seriousae_v2] = '1',,,,,,
ae_ser_conganom_v2,ae_sae_form_imd_within_ce_label,,checkbox,"Led to foetal distress, foetal death, congenital abnormality or birth defect","1, Led to foetal distress, foetal death, congenital abnormality or birth defect",,,,,,[ae_seriousae_v2] = '1',,,,,,
note_2_dev,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;""><span style=""color: #e03e2d; text-decoration: underline;"">Note to eCRF developer:</span></span></p> <p><span style=""color: #e03e2d;"">1. The use of the following field ""<span style=""text-decoration: underline;"">Adverse event of special interest (AESI)""</span> is project specific and should be designed in <span style=""text-decoration: underline;"">compliance with the study protocol</span>.</span></p> <p><span style=""color: #e03e2d;"">2. Edit <span style=""text-decoration: underline;"">Alert: ""Template - Device AESI alert""</span> </span><br><span style=""color: #e03e2d;"">    (see 'Alerts and Notifications') </span><br><span style=""color: #e03e2d;"">    Update the email field for sponsor/sponsor team/monitor and the S-nr of the study. Test thoroughly</span></p> <p><br><span style=""color: #e03e2d;"">Delete this work field, before going to production!!</span></p></div>",,,,,,,,,,,,,
aesi,ae_sae_form_imd_within_ce_label,,radio,Adverse event of special interest (AESI):,"1, Yes | 2, No | 3, Not applicable",,,,,,,y,RH,,,,
ae_sev_txt_v2,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><div style=""width: 101.5%; background-color: #cdcdcd; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px;""> <h5><span style=""color: #0864cc;""><strong>Severity</strong></span></h5> </div></div>",,,,,,,,,,,,,
ae_severity_v2,ae_sae_form_imd_within_ce_label,,radio,Severity,"1, Mild (= aware of symptoms but easily tolerated) | 2, Moderate (= discomfort causing interference with usual activity) | 3, Severe (=incapacitating with inability to work or to do usual activity )",,,,,,,y,,,,,
ae_caus_txt_v4,ae_sae_form_imd_within_ce_label,,descriptive,"<div style=""width: 101.5%; background-color: #cdcdcd; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px;"">
<h5><span style=""color: #0864cc;""><strong>Causality</strong></span></h5>
</div>",,,,,,,,,,,,,
ae_caus_txt_v2,ae_sae_form_imd_within_ce_label,,descriptive,"<div class=""rich-text-field-label""><div style=""width: 101.5%; background-color: #cdcdcd; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px;""><br> <h5><span style=""color: #0864cc;"">Causality to investigational device or comparator</span></h5> </div></div>",,,,,,,,,,,,,
ae_caus_md_v2,ae_sae_form_imd_within_ce_label,,text,Device (name/ID),,,,,,,,y,,,,,
ae_caus_caus_v2,ae_sae_form_imd_within_ce_label,,radio,Causality,"1, Not related | 2, Possibly | 3, Probably | 4, Definitely | 5, Not applicable",,,,,,,y,,,,,
ae_caus_studyproc_txt_v2,ae_sae_form_imd_within_ce_label,,descriptive,"<div style=""width: 101.5%; background-color: #cdcdcd; padding: 2px; position: relative; top: -1px; left: -5px; right: 100px;"">
<h5><span style=""color: #0864cc;"">Causality to investigation procedure</span></h5>
</div>",,,,,,,,,,,,,
ae_caus_studyproc_v2,ae_sae_form_imd_within_ce_label,,radio,Related to an investigation procedure?,"1, Yes | 2, No | 4, Not applicable",Investigation procedure = a study-specific procedure performed outside the standard of care related to the use of the IMD or comparator,,,,,,y,,,,,
